state_index,State,Abbrev,Code
1,Alabama,Ala.,AL
2,Alaska,Alaska,AK
3,Arizona,Ariz.,AZ
4,Arkansas,Ark.,AR
5,California,Calif.,CA
6,Colorado,Colo.,CO
7,Connecticut,Conn.,CT
8,Delaware,Del.,DE
9,District of Columbia,D.C.,DC
10,Florida,Fla.,FL
11,Georgia,Ga.,GA
12,Hawaii,Hawaii,HI
13,Idaho,Idaho,ID
14,Illinois,Ill.,IL
15,Indiana,Ind.,IN
16,Iowa,Iowa,IA
17,Kansas,Kans.,KS
18,Kentucky,Ky.,KY
19,Louisiana,La.,LA
20,Maine,Maine,ME
21,Maryland,Md.,MD
22,Massachusetts,Mass.,MA
23,Michigan,Mich.,MI
24,Minnesota,Minn.,MN
25,Mississippi,Miss.,MS
26,Missouri,Mo.,MO
27,Montana,Mont.,MT
28,Nebraska,Nebr.,NE
29,Nevada,Nev.,NV
30,New Hampshire,N.H.,NH
31,New Jersey,N.J.,NJ
32,New Mexico,N.M.,NM
33,New York,N.Y.,NY
34,North Carolina,N.C.,NC
35,North Dakota,N.D.,ND
36,Ohio,Ohio,OH
37,Oklahoma,Okla.,OK
38,Oregon,Ore.,OR
39,Pennsylvania,Pa.,PA
40,Rhode Island,R.I.,RI
41,South Carolina,S.C.,SC
42,South Dakota,S.D.,SD
43,Tennessee,Tenn.,TN
44,Texas,Tex.,TX
45,Utah,Utah,UT
46,Vermont,Vt.,VT
47,Virginia,Va.,VA
48,Washington,Wash.,WA
49,West Virginia,W.Va.,WV
50,Wisconsin,Wis.,WI
51,Wyoming,Wyo.,WY
